Nombre,Nivel,Domicilio,Barrio,point_x,point_y
"Centro de Alfabetización, Educación Básica y Trabajo N° 84 Comedor Niños Felices",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Villa 1-11-14 Avda. Perito Moreno y Avda. Varela Mza. 9 Casa 80,FLORES,102003.573986999996123,97725.127173700006097
Esc. Primaria p/Adultos N° 08 Judith y Demetrio Demarchi,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,José Ignacio Rucci 3961,VILLA LUGANO,98347.888044599996647,94797.419581399983144
Centro Educativo de Nivel Secundario N° 41,Secundario de Jóvenes y Adultos,Avda. de los Inmigrantes y Avda. Ramón S. Castillo,RETIRO,108676.799922999998671,105072.096424999996088
Centro Educativo de Nivel Secundario N° 91,Secundario de Jóvenes y Adultos,Miralla 2666,VILLA LUGANO,98230.950222300001769,96332.424761200003559
Centro Educativo de Nivel Secundario N° 40,Secundario de Jóvenes y Adultos,El Salvador 4037,PALERMO,103917.781707999994978,104109.186409999994794
Esc. Primaria p/Adultos N° 10 Gregoria Pérez,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Arenales 2733,RECOLETA,105348.417392999996082,104161.126688000003924
Centro Educativo de Nivel Secundario N° 29,Secundario de Jóvenes y Adultos,Obrero Roberto Núñez 4355,ALMAGRO,103316.325876000002609,102921.211932999984128
Centro Educativo de Nivel Secundario N° 81,Secundario de Jóvenes y Adultos,Avda. Crámer 3271,NUÑEZ,99307.476541900003213,108363.380797999998322
Esc. Primaria p/Adultos N° 14 Juan Martin de Pueyrredón,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Pueyrredón 630,BALVANERA,105268.366540000002715,102985.129983000006177
Jardín de Infantes Nucleado B (EPCjc 10/19°),Inicial Común,Aníbal Pedro Arbeletche 1052,NUEVA POMPEYA,103573.133354000005056,98217.200606700018398
Centro Educativo de Nivel Secundario N° 01,Secundario de Jóvenes y Adultos,Dr. Tomás Manuel de Anchorena 855,BALVANERA,104996.379771000007167,103426.141438000006019
