nombre,longitud,latitud,direccion,barrio,comuna,codigo_postal,capacidad
INK,-58.439581,-34.586455,NICETO VEGA  5635,Palermo,Comuna 14,1414.0,409 personas
BRUJAS,-58.430019,-34.588474,J.L. BORGES1640,Palermo,Comuna 14,1414.0,264 personas
BOUTIQUE,-58.37468199999999,-34.614192,PERÚ529,Monserrat,Comuna 1,1068.0,1950 personas
LP,-58.379823,-34.609022,AV. DE MAYO  948,Monserrat,Comuna 1,1084.0,200 personas
CLUB SHAMPOO,-58.388447,-34.589623,QUINTANA 362,Recoleta,Comuna 2,1014.0,220 personas
AFRIKA,-58.39239300000001,-34.588431,JUNIN1787,Recoleta,Comuna 2,1113.0,250 personas
MIND,-58.392141,-34.594625,AV CABILDO 4665,,,, 883 personas
DORSIA,-58.367479,-34.600006,A.  MOREAU DE JUSTO2092,,,1107.0,679 personas
ROSE IN RIO,-58.435554,-34.585813,AV. RAFAEL OBLIGADO 1221,Palermo,Comuna 14,1414.0,1195 personas
AMERIKA,-58.423562,-34.598689,GASCON  1036,Almagro,Comuna 5,1181.0,2450 personas
THE FLOWER,-58.411863000000004,-34.604651000000004,AGÜERO445,Balvanera,Comuna 3,1171.0,405 personas
TEQUILA,-58.429764,-34.550471,AV. RAFAEL OBLIGADO6211,Belgrano,Comuna 13,1428.0,335 personas
MINA,-58.436459,-34.552903,SUCRE 646,Belgrano,Comuna 13,1428.0,402 personas
GOLF DE PALERMO,-58.43513299999999,-34.558357,AV. TORNQUIST6385,Palermo,Comuna 14,1426.0,950 personas
BLACK,-58.436431999999996,-34.585559,GORRITI5516,Palermo,Comuna 14,1414.0,205 personas
JAGER,-58.438028,-34.587701,AV. NICETO VEGA5422,Palermo,Comuna 14,1414.0,950 personas
VITAs,-58.434013,-34.586029,HONDURAS5450,Palermo,Comuna 14,1414.0,756 personas
RUANOs,-58.396099,-34.588904,AZCUENAGA 1775,Recoleta,Comuna 2,1128.0,254 personas
JET,,,"AV. RAFAEL 
OBLIGADO4801",Palermo,Comuna 14,1428.0,602 personas
RADIO STUDIO,-58.38309399999999,-34.629105,O`BRIEN 1232,Constitucion,Comuna 1,1137.0,3050 personas
ESVEDRA,-58.370741,-34.614363,BALCARCE 563,Monserrat,Comuna 1,1064.0,586 personas
LA CITY,,,"AV. ALVAREZ 
THOMAS1391/93",Villa Ortuzar,Comuna 15,1427.0,940 personas
COCOLICHE,-58.378938,-34.608307,AV. RIVADAVIA878,Monserrat,Comuna 1,1002.0,268 personas
BEEE,-58.435554,-34.585813,AV. JUAN B. JUSTO 1579,Palermo,Comuna 14,1414.0,376 personas
CLUB 947,-58.375875,-34.619138,CHACABUCO947/55,San Telmo,Comuna 1,1069.0,1702 personas
SET,-58.427497,-34.624127,AV. LA PLATA  731/33,Caballito,Comuna 6,1235.0,1593 personas
THE SUB,-58.374932,-34.598615,AV. CÓRDOBA 543,Retiro,Comuna 1,1054.0,415 personas
LARC,-58.43847099999999,-34.587422,AV. NICETO VEGA5452,Palermo,Comuna 14,1414.0,980 personas
PORTO SOHO,-58.426477,-34.592026000000004,SCALABRINI ORTIZ1425/29,Palermo,Comuna 14,1414.0,604personas
KUMA,-58.398577,-34.595866,URIBURU1073,Recoleta,Comuna 2,1114.0,508 personas
BLOW,-58.440041,-34.586135,NICETO VEGA5681/99,Palermo,Comuna 14,1414.0,333 personas
